Sort,Species,Date,Location,Notes
219,Belted Kingfisher,4/12/1972,"Springfield, VA at creek",""
220,Green Kingfisher,12/29/1994,"Bentsen Rio State Park, TX",""
221,Red-headed Woodpecker,4/10/1984,"Shonin, Laurel, MD",""
222,Acorn Woodpecker,4/19/2019,"Mount Lemmon, Tucson, AZ",""
223,Gila Woodpecker,4/18/2019,"Sedona, AZ",""
224,Golden-fronted Woodpecker,12/27/1994,"Kleberg Park near Kingsville, TX",""
225,Red-bellied Woodpecker,3/22/1988,"Savage Mill, MD",""
226,Yellow-bellied Sapsucker,12/25/1990,"White Rock Lake, Dallas, TX",""
227,American Three-toed Woodpecker,6/8/1994,"Twin Lakes, Churchill, Manitoba",""
228,Black-backed Woodpecker,6/8/1994,"Twin Lakes, Churchill, Manitoba",""
229,Downy Woodpecker,11/26/1987,"Darien, CT",""
230,Ladder-backed Woodpecker,12/27/1994,"Road to Rlo Grande",""
231,Hairy Woodpecker,6/14/1986,"Ward Pound Ridge Reservation, Westchester, NY",""
232,Northern Flicker,6/13/1986,"Branchville, NJ",""
233,Pileated Woodpecker,8/7/1972,"Springfield, VA",""
234,Crested Caracara,12/27/1994,"Road to Rio Grande",""
235,American Kestrel,5/18/1983,"Baltimore",""
236,Merlin,10/21/1990,"Cape May Lighthouse, Cape May, NJ",""
237,Peregrine Falcon,10/14/1990,"Chincoteague NWR",""
238,Monk Parakeet,12/22/1994,"Texas Hill Country",""
239,Green Parakeet,12/28/1994,"Brownsville, TX",""
240,Red-crowned Parrot,12/28/1994,"Brownsville Dump, Brownsville, TX",""
241,Northern Beardless-Tyrannulet,4/21/2019,"Tucson Audubon's Paton Center for Hummingbirds",""
242,Great Crested Flycatcher,5/14/1989,"Blackwater NWR",""
243,Great Kiskadee,12/29/1994,"Bentsen Rio State Park",""
244,Couch's Kingbird,12/29/1994,"Bentsen Rio State Park",""
245,Cassin's Kingbird,4/21/2019,"Las Cienegas National Conservation Area, AZ",""
246,Western Kingbird,5/9/1993,"Barr Lake (NE of Denver)",""
247,Eastern Kingbird,6/13/1986,"Ward Pound Ridge Reservation",""
248,Gray Kingbird,4/27/1992,"J. N. ""Ding"" Darling NWR",""
249,Scissor-tailed Flycatcher,6/4/1984,"Dallas, TX",""
250,Olive-sided Flycatcher,5/25/1992,"Patapsco Valley State Park",""
251,Eastern Wood-Pewee,8/9/1972,"Springfield, VA",""
252,Acadian Flycatcher,5/13/1992,"Patapsco Valley State Park",""
253,Willow Flycatcher,5/25/1992,"Cylburn Arboretum, Baltimore, MD",""
254,Least Flycatcher,6/10/1994,"Rte 310 near Ross",""
255,Eastern Phoebe,3/29/1989,"Savage, MD",""
256,Say's Phoebe,12/27/1994,"Kleberg Park near Kingsville, TX",""
257,Vermilion Flycatcher,2/14/1993,"Nassawaddox, VA",""
258,Loggerhead Shrike,12/26/1990,"Abramshire",""
259,White-eyed Vireo,5/15/1988,"Assateague NWR",""
260,Bell's Vireo,4/22/2019,"Florida Canyon, Green Valley, AZ",""
261,Yellow-throated Vireo,5/6/1990,"Patapsco Valley State Park",""
262,Blue-headed Vireo,10/18/1992,"Soldiers Delight, Baltimore County, MD",""
263,Warbling Vireo,6/13/1993,"C & O Canal at Noland's Landing",""
264,Red-eyed Vireo,5/13/1988,"Savage, MD",""
265,Black-whiskered Vireo,4/27/1992,"J. N. ""Ding"" Darling NWR",""
266,Canada Jay,6/5/1994,"Twin Lakes, Churchill, Manitoba",""
267,Brown Jay,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
268,Green Jay,12/27/1994,"Road to Rio Grande",""
269,Steller's Jay,5/9/1993,"Lair o' the Bear Park, Jefferson County, CO",""
270,Blue Jay,8/19/1972,"Springfield, VA",""
271,Florida Scrub-Jay,5/2/1992,"Merritt Island NWR",""
272,Mexican Jay,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ",""
273,Black-billed Magpie,5/9/1993,"Red Rocks Loop roads",""
274,American Crow,12/22/1991,"Fort McHenry, Baltimore, MD",""
275,Tamaulipas Crow,12/28/1994,"Brownsville Dump, Brownsville, TX",""
276,Fish Crow,3/1/1992,"Loch Raven Reservoir",""
277,Chihuahuan Raven,12/28/1994,"Brownsville Dump, Brownsville, TX",""
278,Common Raven,5/9/1993,"Red Rocks Park (West of Denver)",""
279,Horned Lark,5/15/1990,"Coast Guard beach, Eastham, MA",""
280,Purple Martin,5/14/1989,"Blackwater NWR",""
281,Tree Swallow,5/20/1984,"Rte 198 at swamp near Brockbridge Rd. Jessup, MD",""
282,Violet-green Swallow,5/9/1993,"O'Fallon Park (West of Denver)",""
283,Northern Rough-winged Swallow,5/14/1988,"Savage, MD",""
284,Bank Swallow,5/9/1993,"Barr Lake (NE of Denver)",""
285,Cliff Swallow,7/4/1993,"Freedom Village Shopping Center",""
286,Cave Swallow,12/27/1994,"Road to Rio Grande",""
287,Barn Swallow,4/13/1992,"JFX near Cross Keys",""
288,Carolina Chickadee,9/17/1989,"Blackwater NWR",""
289,Black-capped Chickadee,4/14/1990,"Erieville, NY",""
290,Mountain Chickadee,5/9/1993,"O'Fallon Park (West of Denver)",""
291,Boreal Chickadee,6/8/1994,"Twin Lakes, Churchill, Manitoba",""
292,Bridled Titmouse,4/21/2019,"Tucson Audubon's Paton Center for Hummingbirds",""
293,Tufted Titmouse,5/18/1988,"Savage, MD",""
294,Verdin,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
295,Red-breasted Nuthatch,2/10/1991,"Loch Raven Reservoir",""
296,White-breasted Nuthatch,11/26/1987,"Darien, CT",""
297,Pygmy Nuthatch,5/9/1993,"Genesee Park (West ot Denver)",""
298,Brown-headed Nuthatch,2/9/1989,"Blackwater NWR",""
299,Brown Creeper,3/28/1989,"Savage, MD",""
300,Canyon Wren,12/22/1994,"Texas Hill Country",""
301,House Wren,5/3/1990,"Patapsco Valley State Park",""
302,Winter Wren,3/15/1991,"Patapsco Valley State Park",""
303,Marsh Wren,6/3/1990,"Bombay Hook NWR",""
304,Carolina Wren,7/14/1988,"Patapsco Valley State Park",""
305,Bewick's Wren,12/22/1994,"Texas Hill Country",""
306,Cactus Wren,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
307,Blue-gray Gnatcatcher,4/4/1988,"Patapsco Valley State Park",""
308,Black-capped Gnatcatcher,4/22/2019,"Florida Canyon, Green Valley, AZ",""
309,American Dipper,5/9/1993,"O'Fallon Park (West of Denver)",""
310,Golden-crowned Kinglet,3/26/1989,"Patapsco Valley State Park",""
311,Ruby-crowned Kinglet,4/15/1989,"2617 Guilford Ave, Baltimore, MD",""
312,Eastern Bluebird,4/19/1986,"Waveny Mansion, New Canaan, CT",""
313,Western Bluebird,5/9/1993,"Genesee Park (West of Denver)",""
314,Mountain Bluebird,5/9/1993,"Upper Bear Creek Rd. (West of Denver)",""
315,Veery,6/29/1991,"Shenandoah National Park",""
316,Gray-cheeked Thrush,5/3/1990,"Patapsco Valley State Park",""
317,Swainson's Thrush,5/3/1990,"Patapsco Valley State Park",""
318,Hermit Thrush,4/14/1988,"2617 Guilford Ave, Baltimore, MD",""
319,Wood Thrush,6/6/1984,"Shonin at Laurel, MD",""
320,American Robin,3/28/1992,"Darien, CT",""
321,Gray Catbird,5/15/1988,"Assateague NWR",""
322,Curve-billed Thrasher,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
323,Brown Thrasher,5/14/1989,"Blackwater NWR",""
324,Long-billed Thrasher,12/29/1994,"Bentsen Rio State Park",""
325,Northern Mockingbird,5/14/1980,"City of Annapolis, MD",""
326,European Starling,12/22/1991,"Fort McHenry, Baltimore, MD",""
327,Cedar Waxwing,4/18/1979,"St John's College, Annapolis, MD",""
328,Phainopepla,4/19/2019,"Karen's Patio, Tucson, AZ",""
329,House Sparrow,12/22/1991,"Fort McHenry, Baltimore, MD",""
330,American Pipit,12/31/1992,"Hagerman NWR",""
331,Sprague's Pipit,12/22/1994,"Texas Hill Country",""
332,Evening Grosbeak,10/23/1993,"Town Hill, MD",""
333,Pine Grosbeak,6/5/1994,"Twin Lakes, Churchill, Manitoba",""
334,House Finch,12/22/1991,"Fort McHenry, Baltimore, MD",""
335,Purple Finch,11/1/1992,"Loch Raven Reservoir",""
336,Common Redpoll,1/8/1994,"Hart-Miller Island",""
337,Hoary Redpoll,6/9/1994,"Bird Cove, Churchill, Manitioba",""
338,Pine Siskin,10/14/1989,"New Canaan, CT",""
339,Lesser Goldfinch,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ",""
340,American Goldfinch,5/14/1988,"Savage, MD",""
341,Lapland Longspur,12/6/1992,"Lilypons, Adamstown, MD",""
342,Smith's Longspur,6/6/1994,"Dump Rd, Churchill, Manitoba",""
343,Snow Bunting,12/6/1992,"Lilypons, Adamstown, MD",""
344,Olive Sparrow,12/29/1994,"Bentsen Rio State Park",""
345,Eastern Towhee,4/14/1988,"Baltimore City, MD",""
346,Rufous-crowned Sparrow,4/22/2019,"Box Canyon, Florence, AZ",""
347,Canyon Towhee,4/20/2019,"Mission Garden, Tucson, AZ","Could be Green-tailed"
348,Abert's Towhee,4/20/2019,"Karen's Patio, Tucson, AZ",""
349,American Tree Sparrow,4/14/1990,"Berry Hill Farm",""
350,Chipping Sparrow,6/14/1986,"Branchville, MD",""
351,Clay-colored Sparrow,10/12/1992,"Assateague Island",""
352,Field Sparrow,3/15/1990,"Patapsco Valley State Park",""
353,Vesper Sparrow,6/6/1993,"Ringler's Farm near Frostburg, MD",""
354,Lark Sparrow,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
355,Black-throated Sparrow,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
356,Lark Bunting,5/9/1993,"Rocky Mountain Arsenal area, CO",""
357,Savannah Sparrow,1/26/1992,"Lilypons, Adamstown, MD",""
358,Grasshopper Sparrow,6/6/1993,"Ringler's Farm near Frostburg, MD",""
359,Henslow's Sparrow,6/6/1993,"Dan's Mountain near Cumberland, MD",""
360,LeConte's Sparrow,12/26/1992,"McKinney, TX",""
361,Seaside Sparrow,5/29/1993,"Brigantine NWR",""
362,Fox Sparrow,11/1/1992,"Loch Raven Reservoir",""
363,Song Sparrow,3/3/1988,"2617 Guilford Ave, Baltimore, MD",""
364,Lincoln's Sparrow,12/26/1992,"McKinney, TX",""
365,Swamp Sparrow,11/19/1989,"Blackwater NWR",""
366,White-throated Sparrow,4/15/1986,"Branchville, MD",""
367,Harris's Sparrow,12/26/1992,"McKinney, TX",""
368,White-crowned Sparrow,1/26/1992,"Lilypons, Adamstown, MD",""
369,Dark-eyed Junco,2/28/1991,"2617 Guilford Ave, Baltimore, MD",""
370,Yellow-eyed Junco,4/19/2019,"Mount Lemmon, Tucson, AZ",""
371,Yellow-breasted Chat,7/5/1992,"Soldiers Delight, Baltimore County, MD",""
372,Yellow-headed Blackbird,5/10/1993,"Rte 270 NE of Denver, CO",""
373,Bobolink,5/31/1988,"West Exeter, NY",""
374,Eastern Meadowlark,5/5/1991,"Brigantine NWR",""
375,Western Meadowlark,6/10/1984,"Dallas, TX",""
376,Orchard Oriole,5/14/1989,"Blackwater NWR",""
377,Hooded Oriole,4/21/2019,"Hacienda del Sol Restaurant, Tucson, AZ",""
378,Altamira Oriole,12/28/1994,"Bentsen Rio State Park, TX",""
379,Audubon's Oriole,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
380,Baltimore Oriole,5/1/1989,"2617 Guilford Ave, Baltimore, MD",""
381,Scott's Oriole,4/22/2019,"Box Canyon, Florence, AZ",""
382,Red-winged Blackbird,5/14/1989,"Blackwater NWR",""
383,Bronzed Cowbird,12/29/1994,"Bentsen Rio State Park, TX",""
384,Brown-headed Cowbird,7/17/1984,"Shonin at Laurel, MD",""
385,Rusty Blackbird,2/13/1994,"New Design Rd. Area, Buckeystown, MD",""
386,Brewer's Blackbird,6/11/1994,"Oak Hammock, Winnipeg",""
387,Common Grackle,12/22/1991,"Fort McHenry, Baltimore, MD",""
388,Boat-tailed Grackle,5/15/1988,"Assateague NWR",""
389,Great-tailed Grackle,12/25/1990,"White Rock Lake, Dallas, TX",""
390,Ovenbird,5/28/1994,"2617 Guilford Ave, Baltimore, MD",""
391,Worm-eating Warbler,5/27/1990,"Patapsco Valley State Park",""
392,Louisiana Waterthrush,7/13/1988,"Patapsco Valley State Park",""
393,Northern Waterthrush,5/8/1989,"Patapsco Valley State Park",""
394,Golden-winged Warbler,5/6/1990,"Patapsco Valley State Park",""
395,Blue-winged Warbler,5/2/1990,"Patapsco Valley State Park",""
396,Black-and-white Warbler,6/5/1993,"Patapsco Valley State Park",""
397,Prothonotary Warbler,5/28/1989,"Blackwater NWR",""
398,Swainson's Warbler,5/3/1990,"Higbee Beach, Cape May, NJ",""
399,Tennessee Warbler,6/3/1994,"Winnipeg Area",""
400,Orange-crowned Warbler,1/1/1993,"White Rock Lake, Dallas, TX",""
401,Nashville Warbler,6/11/1994,"Winnipeg Area",""
402,Virginia's Warbler,5/9/1993,"Red Rocks Park (West of Denver)",""
403,Connecticut Warbler,6/11/1994,"Winnipeg Area",""
404,Kentucky Warbler,5/25/1992,"Patapsco Valley State Park",""
405,Common Yellowthroat,5/14/1986,"Central Park, NYC, NY",""
406,Hooded Warbler,5/3/1990,"Patapsco Valley State Park",""
407,American Redstart,4/4/1988,"Patapsco Valley State Park",""
408,Cape May Warbler,5/6/1990,"Assateague Island, MD",""
409,Cerulean Warbler,5/3/1990,"Spring Gap, C & O Canal",""
410,Northern Parula,4/21/1989,"Savage, MD",""
411,Tropical Parula,12/29/1994,"Bentsen Rio State Park",""
412,Magnolia Warbler,10/12/1992,"Patapsco Valley State Park",""
413,Bay-breasted Warbler,5/10/1989,"Savage, MD",""
414,Blackburnian Warbler,5/6/1990,"Cylburn Arboretum, Baltimore, MD",""
415,Yellow Warbler,5/3/1990,"West Exeter, NY",""
416,Chestnut-sided Warbler,5/21/1991,"Savage, MD",""
417,Blackpoll Warbler,5/18/1991,"Patapsco Valley State Park",""
418,Black-throated Blue Warbler,4/13/1988,"Patapsco Valley State Park",""
419,Palm Warbler,5/15/1990,"Assateague NWR",""
420,Pine Warbler,5/15/1993,"Assateague NWR",""
421,Yellow-rumped Warbler,5/6/1990,"Patapsco Valley State Park",""
422,Audubon's Warbler,4/21/2019,"Las Cienegas National Conservation Area, AZ",""
423,Yellow-throated Warbler,5/13/1992,"Patapsco Valley State Park",""
424,Prairie Warbler,5/15/1988,"Coast Guard Beach, Eastham, MA",""
425,Black-throated Gray Warbler,4/19/2019,"Mount Lemmon, Tucson, AZ",""
426,Black-throated Green Warbler,4/13/1988,"Patapsco Valley State Park",""
427,Canada Warbler,5/6/1990,"Patapsco Valley State Park",""
428,Wilson's Warbler,10/2/1994,"Waterview West",""
429,Red-faced Warbler,4/19/2019,"Mount Lemmon, Tucson, AZ",""
430,Hepatic Tanager,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ",""
431,Summer Tanager,10/12/1992,"Chincoteague NWR, Pony Trail",""
432,Scarlet Tanager,5/1/1989,"Savage, MD",""
433,Northern Cardinal,5/18/1988,"Savage, MD",""
434,Pyrrhuloxia,12/30/1994,"Santa Margarita Ranch, Santa Margarita, CA",""
435,Rose-breasted Grosbeak,5/2/1989,"2617 Guilford Ave, Baltimore, MD",""
436,Black-headed Grosbeak,4/22/2019,"Santa Rita Lodge, Madera Canyon, AZ",""
437,Blue Grosbeak,6/3/1990,"Bombay Hook NWR",""
438,Lazuli Bunting,4/19/2019,"Karen's Patio, Tucson, AZ",""
439,Indigo Bunting,7/14/1988,"Patapsco Valley State Park",""
440,Painted Bunting,12/19/1993,"Evergreen Nursery, Blue Ball Road, Blue Ball, PA",""
441,Dickcissel,6/13/1993,"Oland Rd, Buckeystown, MD",""
