common_name
Azure-crowned Hummingbird
Berylline Hummingbird
Blue-tailed Hummingbird
Steely-vented Hummingbird
Snowy-bellied Hummingbird
Rufous-tailed Hummingbird
Buff-bellied Hummingbird
Cinnamon Hummingbird
Violet-crowned Hummingbird
Green-fronted Hummingbird
Streamertail
Pirre Hummingbird
Violet-capped Hummingbird
Sapphire-throated Hummingbird
Violet-bellied Hummingbird
Humboldt's Sapphire
Blue-throated Goldentail
White-eared Hummingbird
Xantus's Hummingbird
Yellow Rail
Ocellated Crake
Ruddy Crake
White-throated Crake
Gray-breasted Crake
Black Rail
Corn Crake
Ridgway's Rail
Clapper Rail
Aztec Rail
Mangrove Rail
King Rail
Virginia Rail
Western Water-Rail
Rufous-necked Wood-Rail
Russet-naped Wood-Rail
Gray-cowled Wood-Rail
Uniform Crake
Sora
Spotted Crake
Laysan Rail
Hawaiian Rail
Yellow-breasted Crake
Colombian Crake
Paint-billed Crake
Zapata Rail
Spotted Rail
Purple Gallinule
Azure Gallinule
Purple Swamphen
Common Gallinule
Common Moorhen
Eurasian Coot
Hawaiian Coot
American Coot
Sungrebe
Limpkin
Sandhill Crane
Common Crane
Whooping Crane
Double-striped Thick-knee
Black-winged Stilt
Black-necked Stilt
American Avocet
Eurasian Oystercatcher
American Oystercatcher
Black Oystercatcher
Northern Lapwing
Southern Lapwing
Black-bellied Plover
European Golden-Plover
American Golden-Plover
Pacific Golden-Plover
Lesser Sand-Plover
Greater Sand-Plover
Collared Plover
Snowy Plover
Wilson's Plover
Common Ringed Plover
Semipalmated Plover
Piping Plover
Little Ringed Plover
Killdeer
Oriental Plover
Mountain Plover
Eurasian Dotterel
Northern Jacana
Wattled Jacana
Upland Sandpiper
Bristle-thighed Curlew
Whimbrel
Little Curlew
Eskimo Curlew
Long-billed Curlew
Far Eastern Curlew
Slender-billed Curlew
Eurasian Curlew
Bar-tailed Godwit
Black-tailed Godwit
Hudsonian Godwit
Marbled Godwit
Ruddy Turnstone
Black Turnstone
Great Knot
Red Knot
Surfbird
